2024-06-20 17:48:42, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.58, 351.23, 359.55), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.66, 351.26, 359.56), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.70, 351.27, 359.59), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.75, 351.29, 359.61), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.75, 351.29, 359.61), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.77, 351.30, 359.61), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.81, 351.31, 359.62), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.81, 351.32, 359.63), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.82, 351.33, 359.64), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.87, 351.35, 359.62), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.86, 351.37, 359.61), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.88, 351.41, 359.58), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.90, 351.45, 359.56), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.91, 351.48, 359.55), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.91, 351.48, 359.53), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.90, 351.53, 359.51), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (0.00, 1.49, 0.52), Head Rotation: (3.92, 351.52, 359.53), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (0.00, 1.49, 0.52), Head Rotation: (3.95, 351.57, 359.51), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (0.00, 1.49, 0.52), Head Rotation: (3.98, 351.57, 359.53), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (0.00, 1.49, 0.52), Head Rotation: (3.99, 351.59, 359.54), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (0.00, 1.49, 0.52), Head Rotation: (3.98, 351.59, 359.54), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (4.00, 351.62, 359.53), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:43, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.99, 351.61, 359.53), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
