2024-06-17 13:41:33, Head Position: (0.08, 0.97, -1.64), Head Rotation: (8.61, 352.29, 3.75), Left Controller Position: (-0.05, 0.63, -1.36), Left Controller Rotation: (358.41, 343.56, 6.96), Right Controller Position: (0.18, 0.60, -1.36), Right Controller Rotation: (1.58, 17.77, 345.81)
2024-06-17 13:41:33, Head Position: (0.08, 0.97, -1.62), Head Rotation: (8.69, 352.27, 3.73), Left Controller Position: (-0.05, 0.63, -1.35), Left Controller Rotation: (358.39, 343.59, 6.92), Right Controller Position: (0.18, 0.60, -1.34), Right Controller Rotation: (1.60, 17.79, 345.81)
2024-06-17 13:41:33, Head Position: (0.08, 0.97, -1.61), Head Rotation: (8.74, 352.26, 3.71), Left Controller Position: (-0.05, 0.63, -1.34), Left Controller Rotation: (358.38, 343.63, 6.90), Right Controller Position: (0.18, 0.60, -1.33), Right Controller Rotation: (1.61, 17.80, 345.80)
2024-06-17 13:41:33, Head Position: (0.08, 0.97, -1.60), Head Rotation: (8.76, 352.27, 3.69), Left Controller Position: (-0.05, 0.63, -1.32), Left Controller Rotation: (358.35, 343.67, 6.86), Right Controller Position: (0.18, 0.60, -1.32), Right Controller Rotation: (1.61, 17.80, 345.80)
2024-06-17 13:41:33, Head Position: (0.07, 0.97, -1.58), Head Rotation: (8.80, 352.27, 3.66), Left Controller Position: (-0.05, 0.63, -1.31), Left Controller Rotation: (358.32, 343.72, 6.83), Right Controller Position: (0.18, 0.60, -1.30), Right Controller Rotation: (1.61, 17.79, 345.79)
2024-06-17 13:41:33, Head Position: (0.07, 0.97, -1.57), Head Rotation: (8.84, 352.29, 3.62), Left Controller Position: (-0.06, 0.63, -1.29), Left Controller Rotation: (358.30, 343.73, 6.80), Right Controller Position: (0.17, 0.60, -1.29), Right Controller Rotation: (1.62, 17.78, 345.79)
2024-06-17 13:41:33, Head Position: (0.07, 0.97, -1.55), Head Rotation: (8.88, 352.30, 3.62), Left Controller Position: (-0.06, 0.63, -1.28), Left Controller Rotation: (358.32, 343.74, 6.79), Right Controller Position: (0.17, 0.60, -1.28), Right Controller Rotation: (1.62, 17.77, 345.78)
2024-06-17 13:41:33, Head Position: (0.07, 0.97, -1.54), Head Rotation: (8.82, 352.34, 3.58), Left Controller Position: (-0.06, 0.63, -1.26), Left Controller Rotation: (358.40, 343.83, 6.84), Right Controller Position: (0.17, 0.60, -1.26), Right Controller Rotation: (1.65, 17.76, 345.79)
2024-06-17 13:41:33, Head Position: (0.07, 0.97, -1.53), Head Rotation: (8.82, 352.35, 3.55), Left Controller Position: (-0.06, 0.63, -1.25), Left Controller Rotation: (358.42, 343.86, 6.84), Right Controller Position: (0.17, 0.60, -1.25), Right Controller Rotation: (1.66, 17.75, 345.80)
2024-06-17 13:41:33, Head Position: (0.07, 0.97, -1.51), Head Rotation: (8.77, 352.41, 3.58), Left Controller Position: (-0.06, 0.63, -1.24), Left Controller Rotation: (358.46, 343.92, 6.89), Right Controller Position: (0.17, 0.60, -1.23), Right Controller Rotation: (1.68, 17.75, 345.82)
2024-06-17 13:41:33, Head Position: (0.07, 0.97, -1.50), Head Rotation: (8.72, 352.44, 3.58), Left Controller Position: (-0.06, 0.63, -1.23), Left Controller Rotation: (358.45, 343.95, 6.89), Right Controller Position: (0.17, 0.60, -1.22), Right Controller Rotation: (1.71, 17.73, 345.84)
2024-06-17 13:41:33, Head Position: (0.06, 0.97, -1.49), Head Rotation: (8.73, 352.48, 3.57), Left Controller Position: (-0.06, 0.63, -1.21), Left Controller Rotation: (358.43, 343.96, 6.87), Right Controller Position: (0.16, 0.60, -1.21), Right Controller Rotation: (1.72, 17.72, 345.84)
2024-06-17 13:41:33, Head Position: (0.06, 0.97, -1.47), Head Rotation: (8.74, 352.54, 3.58), Left Controller Position: (-0.07, 0.63, -1.20), Left Controller Rotation: (358.41, 343.98, 6.87), Right Controller Position: (0.16, 0.60, -1.19), Right Controller Rotation: (1.72, 17.70, 345.84)
2024-06-17 13:41:33, Head Position: (0.06, 0.97, -1.46), Head Rotation: (8.73, 352.57, 3.56), Left Controller Position: (-0.07, 0.63, -1.18), Left Controller Rotation: (358.41, 343.99, 6.88), Right Controller Position: (0.16, 0.60, -1.18), Right Controller Rotation: (1.72, 17.69, 345.84)
2024-06-17 13:41:33, Head Position: (0.06, 0.97, -1.44), Head Rotation: (8.69, 352.59, 3.60), Left Controller Position: (-0.07, 0.63, -1.17), Left Controller Rotation: (358.44, 344.00, 6.85), Right Controller Position: (0.16, 0.60, -1.16), Right Controller Rotation: (1.72, 17.68, 345.83)
2024-06-17 13:41:33, Head Position: (0.06, 0.97, -1.43), Head Rotation: (8.63, 352.61, 3.62), Left Controller Position: (-0.07, 0.63, -1.16), Left Controller Rotation: (358.45, 344.00, 6.84), Right Controller Position: (0.16, 0.60, -1.15), Right Controller Rotation: (1.70, 17.66, 345.82)
2024-06-17 13:41:33, Head Position: (0.06, 0.97, -1.42), Head Rotation: (8.60, 352.60, 3.56), Left Controller Position: (-0.07, 0.63, -1.14), Left Controller Rotation: (358.46, 344.00, 6.83), Right Controller Position: (0.16, 0.60, -1.14), Right Controller Rotation: (1.66, 17.65, 345.82)
